Neighbourhood,Sex Offences,Assaults,Robbery,Breaking and Entering,Theft from MV,Theft from Auto,Theft < $5000,Arson,Mischief,Offensive Weapons,Total Crime
Arbutus Ridge,3,14,1,114,16,144,116,2,39,4,453
Downtown,153,"1,574",238,938,278,"4,280","4,712",37,"1,173",231,"13,614"
Dunbar - Southlands,4,8,3,110,14,176,67,3,51,2,438
Fairview,21,100,35,342,95,584,975,7,169,12,"2,340"
Grandview - Woodland,29,259,36,320,155,592,694,19,255,24,"2,383"
Hastings - Sunrise,23,100,22,236,89,423,255,13,159,12,"1,332"
Kensington - Cedar Cottage,30,152,47,308,121,519,482,13,204,15,"1,891"
Kerrisdale,4,14,5,123,19,168,113,4,43,2,495
Killarney,10,45,8,129,44,189,101,5,77,10,618
Kitsilano,19,99,18,398,125,645,549,8,161,12,"2,034"
Marpole,9,61,6,225,60,245,227,19,105,8,965
Mount Pleasant,33,200,29,363,176,792,"1,200",11,256,20,"3,080"
Oakridge,8,26,10,167,25,147,205,1,47,4,640
Renfrew - Collingwood,24,150,43,286,145,426,706,14,182,17,"1,993"
Riley Park,14,29,7,256,57,368,214,14,78,9,"1,046"
Shaughnessy,4,11,1,151,13,140,48,2,34,1,405
South Cambie,5,12,4,87,18,103,144,1,39,2,415
Strathcona,39,601,78,344,163,654,629,26,320,66,"2,920"
Sunset,26,86,25,151,104,271,278,15,142,9,"1,107"
Victoria - Fraserview,15,48,8,149,71,200,126,8,67,12,704
West End,45,294,52,352,152,"1,033","1,442",7,278,31,"3,686"
West Point Grey,4,14,4,119,22,122,96,2,56,1,440
GRAND TOTAL,527,"3,921",682,"5,681","1,967","12,314","13,431",233,"3,954",508,"42,999"
